wave n k
0.0003762 0.999939303 3.8781e-06
0.00037707 0.999939026 3.9119e-06
0.00037794 0.999938737 3.9459e-06
0.00037881 0.999938458 3.9804e-06
0.00037968 0.999938164 4.0153e-06
0.00038056 0.999937883 4.0505e-06
0.00038144 0.999937588 4.086e-06
0.00038232 0.999937303 4.1217e-06
0.0003832 0.999937005 4.1577e-06
0.00038408 0.999936719 4.1939e-06
0.00038497 0.999936417 4.2305e-06
0.00038585 0.999936128 4.2675e-06
0.00038674 0.999935825 4.3048e-06
0.00038763 0.999935532 4.3424e-06
0.00038853 0.999935226 4.3803e-06
0.00038942 0.999934932 4.4184e-06
0.00039032 0.999934623 4.4569e-06
0.00039122 0.999934325 4.4958e-06
0.00039212 0.999934014 4.535e-06
0.00039303 0.999933714 4.5746e-06
0.00039393 0.999933399 4.6145e-06
0.00039484 0.999933096 4.6548e-06
0.00039575 0.999932779 4.6953e-06
0.00039666 0.999932473 4.7362e-06
0.00039758 0.999932153 4.7774e-06
0.00039849 0.999931845 4.819e-06
0.00039941 0.999931522 4.861e-06
0.00040033 0.99993121 4.9034e-06
0.00040126 0.999930884 4.9461e-06
0.00040218 0.999930571 4.9893e-06
0.00040311 0.99993024 5.0328e-06
0.00040404 0.999929925 5.0767e-06
0.00040497 0.999929593 5.1209e-06
0.0004059 0.999929273 5.1653e-06
0.00040684 0.999928938 5.2102e-06
0.00040778 0.999928617 5.2555e-06
0.00040872 0.999928277 5.3013e-06
0.00040966 0.999927953 5.3475e-06
0.0004106 0.999927611 5.394e-06
0.00041155 0.999927283 5.4408e-06
0.0004125 0.999926939 5.488e-06
0.00041345 0.999926609 5.5356e-06
0.0004144 0.999926259 5.5837e-06
0.00041536 0.999925927 5.6322e-06
0.00041631 0.999925576 5.6812e-06
0.00041727 0.999925238 5.7307e-06
0.00041824 0.999924885 5.7804e-06
0.0004192 0.999924546 5.8306e-06
0.00042017 0.999924189 5.8812e-06
0.00042114 0.999923846 5.9322e-06
0.00042211 0.999923486 5.9835e-06
0.00042308 0.999923141 6.0353e-06
0.00042405 0.999922776 6.0875e-06
0.00042503 0.999922428 6.1402e-06
0.00042601 0.999922061 6.1935e-06
0.00042699 0.999921708 6.2474e-06
0.00042798 0.999921338 6.3017e-06
0.00042896 0.999920985 6.3563e-06
0.00042995 0.999920611 6.4112e-06
